Frequency [Hz]	Re(sigma) [S/m]	Im(sigma) [S/m]
0.	4.87338e-11	0
10.1315	4.87338e-11	0
13.7444	5.50479e-11	0
19.3676	6.218e-11	0
26.274	7.02362e-11	0
39.9467	7.93361e-11	0
52.171	8.96151e-11	0
73.4714	9.40903e-11	0
103.572	1.11588e-10	0
145.918	1.23012e-10	0
205.617	1.3895e-10	0
300.963	1.56952e-10	0
408.202	1.7302e-10	0
575.326	2.00257e-10	0
810.384	2.15443e-10	0
1099.58	2.49359e-10	0
1671.46	2.74887e-10	0
2267.94	3.1816e-10	0
3195.19	3.50731e-10	0
4333.7	3.86635e-10	0
6107.98	4.47501e-10	0
8605.22	4.93312e-10	0
12600.5	5.85054e-10	0
17752.3	6.44947e-10	0
24082.6	7.28507e-10	0
32676.9	8.43191e-10	0
46055.2	9.75928e-10	0
64884.8	1.07584e-09	0
94991.2	1.2452e-09	0
128890	1.44122e-09	0
181623	1.62795e-09	0
265896	1.88422e-09	0
360713	2.12835e-09	0
508497	2.52416e-09	0
716683	2.92152e-09	0
972442	3.38143e-09	0
1e15	3.38143e-09	0
