Frequency [Hz]	mu_prime	mu_second
0.	1000	-159.361
1003590.0	1000	-159.361
1004890.0	1000	-159.801
1156350.0	1000	-215.443
1157600.0	1000	-215.793
1345350.0	966.513	-270.114
1346560.0	966.316	-270.434
1565220.0	933.922	-329.501
1566370.0	933.766	-329.717
1812070.0	884.152	-375.323
1813160.0	883.952	-375.456
2088600.0	819.767	-408.061
2108040.0	815.645	-410.294
2429440.0	755.051	-435.571
2440380.0	752.888	-436.396
2852760.0	681.418	-451.608
2853580.0	681.292	-451.608
3319230.0	614.739	-451.608
3334730.0	612.534	-451.608
3822740.0	551.332	-439.397
3860820.0	547.136	-438.017
4446700.0	493.729	-418.817
4447220.0	493.688	-418.801
5172510.0	439.42	-399.2
5172860.0	439.397	-399.193
6016820.0	396.48	-383.119
6016960.0	396.474	-383.113
6964680.0	355.301	-352.874
6964710.0	355.3	-352.873
8140780.0	318.402	-330.19
8180790.0	317.581	-329.501
9423600.0	294.772	-309.793
9515630.0	293.266	-308.105
10908100.0	269.088	-285.336
10961000.0	268.27	-284.671
12687700.0	245.404	-265.249
12750400.0	244.691	-264.618
14758200.0	224.487	-252.23
14759400.0	224.475	-252.224
17083000.0	203.95	-235.025
17252100.0	202.588	-233.909
19776700.0	184.62	-226.03
19870500.0	184.027	-225.702
23117200.0	166.564	-215.443
23226000.0	166.05	-215.123
26890500.0	148.319	-205.353
27015700.0	147.789	-204.995
31118600.0	130.639	-194.418
31127300.0	130.599	-194.397
36194900.0	110.826	-178.824
36562000.0	109.666	-177.828
42099500.0	94.6652	-168.675
42322600.0	94.1223	-168.341
48751000.0	80.6961	-152.941
48967100.0	80.3086	-152.573
56676500.0	65.8343	-140.908
56706900.0	65.7893	-140.867
66242800.0	53.9688	-129.789
66283800.0	53.9233	-129.746
77046600.0	43.9397	-113.972
77098400.0	43.894	-113.906
89175100.0	35.0464	-103.538
89243300.0	35.0012	-103.486
103211000.0	27.3842	-91.301
103804000.0	27.1209	-90.8518
119457000.0	21.3972	-81.4765
119570000.0	21.3671	-81.4168
139758000.0	16.9314	-70.9889
140298000.0	16.8341	-70.7581
161593000.0	13.3352	-62.8087
161769000.0	13.3122	-62.7508
189784000.0	10.3486	-53.909
190934000.0	10.2556	-53.6002
221812000.0	8.19767	-47.1065
222086000.0	8.18052	-47.0564
255477000.0	6.44947	-42.2408
258323000.0	6.35297	-41.8817
296096000.0	5.27626	-35.2874
297144000.0	5.25095	-35.1707
342728000.0	4.35408	-30.7677
343927000.0	4.33416	-30.6571
396700000.0	3.73459	-26.4618
400034000.0	3.70214	-26.2717
458537000.0	3.20592	-23.3572
461424000.0	3.18882	-23.2312
536714000.0	2.80356	-20.6765
538577000.0	2.7953	-20.6136
626461000.0	2.52224	-18.0502
627332000.0	2.51928	-18.0282
725129000.0	2.22953	-16.2831
733264000.0	2.20996	-16.156
847567000.0	1.9708	-14.5922
848766000.0	1.96819	-14.5777
977690000.0	1.72391	-13.3352
981051000.0	1.71838	-13.3064
1e15	1.71838	-13.3064
