Warning: alpha00, omega= 0.62831853071795864769252867665590057683943387987502116419498892E4, flagreal= 1, result= 1.29510275e+08, rel. error= 1.63831271e-06
Warning: alpha00, omega= 0.62831853071795864769252867665590057683943387987502116419498892E4, flagreal= 0, result= -4.62945651e+07, rel. error= 3.47603432e-06
Warning: alpha02, omega= 0.62831853071795864769252867665590057683943387987502116419498892E4, flagreal= 0, result= -6.75453360e+27, rel. error= 3.57272311e-04
Warning: alpha11, omega= 0.62831853071795864769252867665590057683943387987502116419498892E4, flagreal= 0, result= -5.14878236e+27, rel. error= 4.13456826e-04
Warning: alpha00, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 1, result= 1.26365872e+08, rel. error= 3.42196014e-06
Warning: alpha00, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 0, result= -4.51552089e+07, rel. error= 4.24638171e-06
Warning: alpha02, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 1, result= 3.16924435e+29, rel. error= 5.12296149e-06
Warning: alpha02, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 0, result= -5.84314381e+27, rel. error= 4.40017819e-04
Warning: alpha11, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 1, result= 3.18125655e+29, rel. error= 1.11369103e-06
Warning: alpha11, omega= 0.70498498664544438728849507243508544908585413820535144142771199E4, flagreal= 0, result= -4.51268561e+27, rel. error= 5.93825689e-04
Warning: alpha00, omega= 0.79100616502201239146475833615226252100709094250358290905385217E4, flagreal= 1, result= 1.23325767e+08, rel. error= 1.11324832e-06
Warning: alpha00, omega= 0.79100616502201239146475833615226252100709094250358290905385217E4, flagreal= 0, result= -4.40690147e+07, rel. error= 1.14129045e-06
Warning: alpha02, omega= 0.79100616502201239146475833615226252100709094250358290905385217E4, flagreal= 1, result= 2.51531509e+29, rel. error= 1.48075377e-06
Warning: alpha02, omega= 0.79100616502201239146475833615226252100709094250358290905385217E4, flagreal= 0, result= -5.05030987e+27, rel. error= 3.10936153e-04
Warning: alpha11, omega= 0.79100616502201239146475833615226252100709094250358290905385217E4, flagreal= 0, result= -3.94566772e+27, rel. error= 1.82926744e-04
Warning: alpha00, omega= 0.88752351462132175096249843714489187776716795131854653035839003E4, flagreal= 1, result= 1.20383876e+08, rel. error= 4.57345930e-07
Warning: alpha00, omega= 0.88752351462132175096249843714489187776716795131854653035839003E4, flagreal= 0, result= -4.30424744e+07, rel. error= 1.59246425e-06
Warning: alpha02, omega= 0.88752351462132175096249843714489187776716795131854653035839003E4, flagreal= 0, result= -4.36145444e+27, rel. error= 1.78443289e-04
Warning: alpha11, omega= 0.88752351462132175096249843714489187776716795131854653035839003E4, flagreal= 0, result= -3.44150083e+27, rel. error= 1.80660833e-04
Warning: alpha00, omega= 0.99581776203206202914149139657245854383692158263654797896580196E4, flagreal= 1, result= 1.17532900e+08, rel. error= 4.39783191e-07
Warning: alpha00, omega= 0.99581776203206202914149139657245854383692158263654797896580196E4, flagreal= 0, result= -4.20817228e+07, rel. error= 1.29955741e-06
Warning: alpha02, omega= 0.99581776203206202914149139657245854383692158263654797896580196E4, flagreal= 0, result= -3.76358332e+27, rel. error= 2.31097058e-05
Warning: alpha11, omega= 0.99581776203206202914149139657245854383692158263654797896580196E4, flagreal= 0, result= -2.99460231e+27, rel. error= 8.18893420e-05
Warning: alpha00, omega= 0.11173259061216543178767408166414126262887782571040507770354606E5, flagreal= 1, result= 1.14764198e+08, rel. error= 3.10246780e-07
Warning: alpha00, omega= 0.11173259061216543178767408166414126262887782571040507770354606E5, flagreal= 0, result= -4.11923947e+07, rel. error= 1.31179711e-06
Warning: alpha02, omega= 0.11173259061216543178767408166414126262887782571040507770354606E5, flagreal= 0, result= -3.24521493e+27, rel. error= 3.94109096e-05
Warning: alpha11, omega= 0.11173259061216543178767408166414126262887782571040507770354606E5, flagreal= 0, result= -2.59991280e+27, rel. error= 1.32026051e-04
Warning: alpha00, omega= 0.12536602861381587910012757145959536899239892383183235874468966E5, flagreal= 1, result= 1.12067807e+08, rel. error= 1.86808738e-07
Warning: alpha00, omega= 0.12536602861381587910012757145959536899239892383183235874468966E5, flagreal= 0, result= -4.03792222e+07, rel. error= 5.86444777e-07
Warning: alpha02, omega= 0.12536602861381587910012757145959536899239892383183235874468966E5, flagreal= 0, result= -2.79626510e+27, rel. error= 7.57205605e-06
Warning: alpha11, omega= 0.12536602861381587910012757145959536899239892383183235874468966E5, flagreal= 0, result= -2.25273373e+27, rel. error= 4.42741792e-05
Warning: alpha00, omega= 0.14066299764724948559068157610659616201545602804751738233180757E5, flagreal= 1, result= 1.09432419e+08, rel. error= 1.32454444e-07
Warning: alpha00, omega= 0.14066299764724948559068157610659616201545602804751738233180757E5, flagreal= 0, result= -3.96457004e+07, rel. error= 4.90326096e-07
Warning: alpha02, omega= 0.14066299764724948559068157610659616201545602804751738233180757E5, flagreal= 0, result= -2.40776610e+27, rel. error= 3.11830669e-05
Warning: alpha11, omega= 0.14066299764724948559068157610659616201545602804751738233180757E5, flagreal= 0, result= -1.94855971e+27, rel. error= 4.30577055e-05
Warning: alpha00, omega= 0.15782647919764754333279693151596643337927242178025445784151681E5, flagreal= 1, result= 1.06845504e+08, rel. error= 1.16394278e-07
Warning: alpha00, omega= 0.15782647919764754333279693151596643337927242178025445784151681E5, flagreal= 0, result= -3.89936805e+07, rel. error= 1.39824497e-07
Warning: alpha02, omega= 0.15782647919764754333279693151596643337927242178025445784151681E5, flagreal= 0, result= -2.07191263e+27, rel. error= 2.37026810e-05
Warning: alpha11, omega= 0.15782647919764754333279693151596643337927242178025445784151681E5, flagreal= 0, result= -1.68314253e+27, rel. error= 1.53333192e-05
